player__id,player__firstname,player__lastname,player__age,player__birth__date,player__nationality,player__height,player__weight,player__photo,player__statistics__team__id,player__statistics__team__name,player__statistics__team__logo
1,Benjamin,Mendy,28,17/07/1994,France,185 cm,85 kg,https://media-1.api-sports.io/football/players/623.png,50,Manchester City,https://media-2.api-sports.io/football/teams/50.png
2,Fabian,Delph,33,21/11/1989,England,174 cm,60 kg,https://media-2.api-sports.io/football/players/630.png,45,Everton,https://media-1.api-sports.io/football/teams/45.png
3,Lee,Grant,39,27/01/1983,England,193 cm,83 kg,https://media-1.api-sports.io/football/players/883.png,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png
4,Mason Will John,Greenwood,21,01/10/2001,England,181 cm,70 kg,https://media-2.api-sports.io/football/players/897.png,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png
5,Gary,Cahill,37,19/12/1985,England,193 cm,86 kg,https://media-2.api-sports.io/football/players/2281.png,35,Bournemouth,https://media-3.api-sports.io/football/teams/35.png
6,Daniel Noel,Drinkwater,32,05/03/1990,England,178 cm,79 kg,https://media-1.api-sports.io/football/players/2288.png,49,Chelsea,https://media-1.api-sports.io/football/teams/49.png
7,Gaëtan,Bong Songo,34,25/04/1988,Cameroon,187 cm,74 kg,https://media-1.api-sports.io/football/players/3398.png,65,Nottingham Forest,https://media-1.api-sports.io/football/teams/65.png
8,Mark,Noble,35,08/05/1987,England,180 cm,70 kg,https://media-1.api-sports.io/football/players/18826.png,48,West Ham,https://media-3.api-sports.io/football/teams/48.png
9,Michael,Hector,30,19/07/1992,Jamaica,193 cm,82 kg,https://media-2.api-sports.io/football/players/19373.png,36,Fulham,https://media-1.api-sports.io/football/teams/36.png
10,Liam John,Hughes,21,19/08/2001,Northern Ireland,null,null,https://media-3.api-sports.io/football/players/138411.png,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png
11,Finley Jack,Burns,19,17/06/2003,England,185 cm,null,https://media-1.api-sports.io/football/players/158696.png,50,Manchester City,https://media-2.api-sports.io/football/teams/50.png
12,Lars,Dendoncker,21,03/04/2001,Belgium,188 cm,null,https://media-1.api-sports.io/football/players/162517.png,51,Brighton,https://media-2.api-sports.io/football/teams/51.png
13,Harvey,Blair,19,14/09/2003,England,null,null,https://media-2.api-sports.io/football/players/284247.png,40,Liverpool,https://media-3.api-sports.io/football/teams/40.png
14,Ryan Christopher,Bartley,19,18/11/2003,England,null,null,https://media-1.api-sports.io/football/players/284453.png,52,Crystal Palace,https://media-1.api-sports.io/football/teams/52.png
15,Maliq Anthony,Cadogan,18,25/02/2004,England,null,null,https://media-3.api-sports.io/football/players/284464.png,52,Crystal Palace,https://media-3.api-sports.io/football/teams/52.png
16,Jadan,Raymond,19,15/10/2003,England,null,null,https://media-3.api-sports.io/football/players/293162.png,52,Crystal Palace,https://media-3.api-sports.io/football/teams/52.png
17,Joe,Sheridan,19,10/12/2003,England,null,null,https://media-1.api-sports.io/football/players/293167.png,52,Crystal Palace,https://media-2.api-sports.io/football/teams/52.png
18,Matthew,Vigor,18,29/07/2004,England,null,null,https://media-3.api-sports.io/football/players/344908.png,52,Crystal Palace,https://media-1.api-sports.io/football/teams/52.png
19,Tarik,Gidaree,19,08/05/2003,England,null,null,https://media-3.api-sports.io/football/players/350590.png,35,Bournemouth,https://media-1.api-sports.io/football/teams/35.png
20,Enock,Mwepu,24,01/01/1998,Zambia,184 cm,76 kg,https://media-2.api-sports.io/football/players/1093.png,51,Brighton,https://media-3.api-sports.io/football/teams/51.png
21,Lewis,Grabban,34,12/01/1988,England,183 cm,78 kg,https://media-3.api-sports.io/football/players/19308.png,65,Nottingham Forest,https://media-1.api-sports.io/football/teams/65.png
22,Luka,Račić,23,08/05/1999,Denmark,187 cm,74 kg,https://media-3.api-sports.io/football/players/19350.png,55,Brentford,https://media-2.api-sports.io/football/teams/55.png
23,Nathan,Wallace Newman Trott,24,21/11/1998,England,188 cm,75 kg,https://media-3.api-sports.io/football/players/90494.png,48,West Ham,https://media-1.api-sports.io/football/teams/48.png
24,Di'Shon Joel,Bernard,22,14/10/2000,England,189 cm,80 kg,https://media-3.api-sports.io/football/players/138807.png,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png
25,Oliwier,Zych,18,28/06/2004,Poland,null,null,https://media-3.api-sports.io/football/players/148270.png,66,Aston Villa,https://media-1.api-sports.io/football/teams/66.png
26,Thomas Daniel,Hill,20,13/10/2002,England,null,null,https://media-3.api-sports.io/football/players/152976.png,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png
27,James Barry,Norris,19,04/04/2003,England,null,null,https://media-1.api-sports.io/football/players/152979.png,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png
28,Teden Mambuene,Mengi,20,30/04/2002,England,183 cm,78 kg,https://media-2.api-sports.io/football/players/153429.png,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png
29,Teddy Samuel,Sharman-Lowe,19,30/03/2003,England,189 cm,73 kg,https://media-2.api-sports.io/football/players/180940.png,49,Chelsea,https://media-1.api-sports.io/football/teams/49.png
30,Oscar,Bobb,19,12/07/2003,Norway,null,null,https://media-2.api-sports.io/football/players/278133.png,50,Manchester City,https://media-1.api-sports.io/football/teams/50.png
31,Arjan,Singh Raikhy,20,20/10/2002,England,null,null,https://media-3.api-sports.io/football/players/283289.png,66,Aston Villa,https://media-2.api-sports.io/football/teams/66.png
32,Isaac,Mabaya,18,22/09/2004,England,null,null,https://media-1.api-sports.io/football/players/284286.png,40,Liverpool,https://media-1.api-sports.io/football/teams/40.png
33,Radek,Vítek,19,24/10/2003,Czech Republic,198 cm,null,https://media-2.api-sports.io/football/players/284361.png,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png
34,Brandon Ashley,Cover,19,25/09/2003,England,null,null,https://media-1.api-sports.io/football/players/284530.png,46,Leicester,https://media-1.api-sports.io/football/teams/46.png
35,Tommi Dylan,O'Reilly,19,15/12/2003,England,null,null,https://media-3.api-sports.io/football/players/284556.png,66,Aston Villa,https://media-1.api-sports.io/football/teams/66.png
36,Joshua,Keeley,19,17/05/2003,Republic of Ireland,null,null,https://media-1.api-sports.io/football/players/291022.png,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png
37,Thomas,Wilson-Brown,18,05/10/2004,England,null,null,https://media-2.api-sports.io/football/players/305732.png,46,Leicester,https://media-1.api-sports.io/football/teams/46.png
38,Joshua,Feeney,17,06/05/2005,England,193 cm,null,https://media-3.api-sports.io/football/players/312118.png,66,Aston Villa,https://media-2.api-sports.io/football/teams/66.png
39,Matthew Gerrard,Smith,22,05/10/2000,England,176 cm,null,https://media-3.api-sports.io/football/players/167658.png,42,Arsenal,https://media-3.api-sports.io/football/teams/42.png
40,Marcelo,de Araújo Pitaluga Filho,20,20/12/2002,Brazil,191 cm,75 kg,https://media-1.api-sports.io/football/players/180866.png,40,Liverpool,https://media-3.api-sports.io/football/teams/40.png
41,Isak,Hansen-Aarøen,18,22/08/2004,Norway,173 cm,null,https://media-1.api-sports.io/football/players/216770.png,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png
42,Joseph,Brennen Hugill,19,19/10/2003,England,188 cm,null,https://media-3.api-sports.io/football/players/282133.png,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png
43,Noam,Fritz Emeran,20,24/09/2002,France,179 cm,null,https://media-2.api-sports.io/football/players/282136.png,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png
44,Dominic,Corness,19,05/05/2003,England,null,null,https://media-1.api-sports.io/football/players/284253.png,40,Liverpool,https://media-1.api-sports.io/football/teams/40.png
45,Charlie William Henry,Savage,19,02/05/2003,Wales,182 cm,74 kg,https://media-2.api-sports.io/football/players/284323.png,33,Manchester United,https://media-1.api-sports.io/football/teams/33.png
46,Björn Bryan,Hardley,20,19/12/2002,Netherlands,189 cm,null,https://media-3.api-sports.io/football/players/284362.png,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png
47,Sam,Murray,18,25/09/2004,England,null,null,https://media-2.api-sports.io/football/players/284391.png,33,Manchester United,https://media-1.api-sports.io/football/teams/33.png
48,Taylor,Foran,19,14/10/2003,England,null,null,https://media-2.api-sports.io/football/players/284421.png,42,Arsenal,https://media-2.api-sports.io/football/teams/42.png
49,Hubert,Graczyk,19,28/02/2003,England,null,null,https://media-1.api-sports.io/football/players/284539.png,42,Arsenal,https://media-1.api-sports.io/football/teams/42.png
50,Zane,Monlouis,19,16/10/2003,England,null,null,https://media-2.api-sports.io/football/players/284557.png,42,Arsenal,https://media-2.api-sports.io/football/teams/42.png
51,Charles Kwame,Sagoe Junior,18,24/07/2004,England,null,null,https://media-1.api-sports.io/football/players/284571.png,42,Arsenal,https://media-2.api-sports.io/football/teams/42.png
52,Fabian,Mrozek,19,28/09/2003,Poland,null,null,https://media-2.api-sports.io/football/players/287111.png,40,Liverpool,https://media-2.api-sports.io/football/teams/40.png
53,Marc,Jurado Gómez,18,13/04/2004,Spain,178 cm,null,https://media-1.api-sports.io/football/players/288106.png,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png
54,Daniel,Gore,18,26/09/2004,England,null,null,https://media-2.api-sports.io/football/players/303010.png,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png
55,Maximillian,Oyedele,18,07/11/2004,England,null,null,https://media-3.api-sports.io/football/players/303016.png,33,Manchester United,https://media-3.api-sports.io/football/teams/33.png
56,Reuell,Walters,18,16/12/2004,England,null,null,https://media-1.api-sports.io/football/players/309505.png,42,Arsenal,https://media-3.api-sports.io/football/teams/42.png
57,Myles Anthony,Lewis-Skelly,16,26/09/2006,England,null,null,https://media-1.api-sports.io/football/players/313245.png,42,Arsenal,https://media-1.api-sports.io/football/teams/42.png
58,Tyler,Fredricson,17,23/02/2005,England,null,null,https://media-1.api-sports.io/football/players/328101.png,33,Manchester United,https://media-2.api-sports.io/football/teams/33.png
59,Hugo Hadrien Dominique,Lloris,37,26/12/1986,France,188 cm,82 kg,https://media-2.api-sports.io/football/players/159.png,47,Tottenham,https://media-3.api-sports.io/football/teams/47.png
60,Alfie,Malik Whiteman,25,02/10/1998,England,189 cm,84 kg,https://media-1.api-sports.io/football/players/161.png,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png
61,Benjamin Thomas,Davies,30,24/04/1993,Wales,181 cm,77 kg,https://media-3.api-sports.io/football/players/164.png,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png
62,Davinson,Sánchez Mina,27,12/06/1996,Colombia,187 cm,81 kg,https://media-3.api-sports.io/football/players/168.png,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png
63,Eric Jeremy Edgar,Dier,29,15/01/1994,England,188 cm,83 kg,https://media-2.api-sports.io/football/players/175.png,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png
64,Allan,Marques Loureiro,31,08/01/1991,Brazil,174 cm,77 kg,https://media-1.api-sports.io/football/players/326.png,45,Everton,https://media-3.api-sports.io/football/teams/45.png
65,Armstrong Echezolachukwu Inya,Oko-Flex,21,02/03/2002,Republic of Ireland,null,null,https://media-2.api-sports.io/football/players/1131.png,48,West Ham,https://media-1.api-sports.io/football/teams/48.png
66,Emerson Aparecido,Leite de Souza Junior,24,14/01/1999,Brazil,181 cm,79 kg,https://media-2.api-sports.io/football/players/1566.png,47,Tottenham,https://media-1.api-sports.io/football/teams/47.png
